spi_rank,country,spi_score,basic_human_needs,wellbeing,opportunity,basic_nutri_med_care,water_sanitation,shelter,personal_safety,access_basic_knowledge,access_info_comm,health_wellness,env_quality,personal_rights,personal_freedom_choice,inclusiveness,access_adv_edu
1,Norway,92.63,95.29,93.3,89.3,98.81,98.33,93.75,90.29,98.66,95.8,89.32,89.44,96.34,91.16,83.77,85.92
2,Finland,92.26,95.62,93.09,88.07,98.99,99.26,96.48,87.75,96.32,95.14,85.73,95.15,96.13,88.1,82.81,85.23
3,Denmark,92.15,95.3,92.74,88.41,98.62,98.21,94.92,89.46,97.44,98.18,85.15,90.2,97.08,90.03,81.64,84.89
4,Iceland,91.78,96.66,93.65,85.04,98.99,98.82,93.16,95.66,99.51,93.12,91.02,90.93,95.14,88.01,77.63,79.39
5,Switzerland,91.78,95.25,93.8,86.28,98.72,98.96,92.97,90.35,98.6,95.07,91.5,90.05,96.69,90.65,74.81,82.99
6,Canada,91.41,94.72,92.83,86.68,98.34,97.52,90.82,92.21,97.88,93.44,87.37,92.63,95.74,86.49,79.54,84.93
7,Sweden,91.2,94.5,91.85,87.26,98.9,98.35,91.8,88.97,93.87,93.5,86.85,93.18,97.59,89.38,79.84,82.24
8,Netherlands,90.57,94.09,91.24,86.38,98.58,98.65,89.65,89.5,94.03,96.28,86.93,87.72,97.13,89.35,74.4,84.67
9,Japan,90.44,96.85,92.93,81.53,97.16,97.17,96.87,96.18,98.47,93.51,92.1,87.64,95.61,84.66,63.45,82.4
10,Germany,90.32,94.59,89.35,87.03,98.7,98.52,91.6,89.56,97.72,89.33,82.32,88.02,97.71,90.05,75.59,84.78
11,Australia,90.28,95.12,90.41,85.33,98.34,98.26,91.21,92.66,94.58,94.17,86.26,86.61,96.3,86.23,70,88.77
12,New Zealand,90.02,94.3,91.5,84.27,98.04,97.67,89.06,92.44,97.87,96.27,85.86,85.98,97.91,84.97,70.82,83.37
13,Ireland,89.47,93.91,89.58,84.93,98.69,98.36,88.47,90.11,94.82,91.24,84.27,87.99,97.13,85.64,78.15,78.8
